;;"Original dataset";;;;;;;"Augmented dataset";;;;;;
"model";"dataset";"target";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"accuracy";"f1_score";"precision";"recall";"kappa";"roc_auc";"Test set size"
;;"China";0,500;0,000;0,000;0,000;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;2
;;"Russia";0,455;0,625;0,472;0,926;-0,073;0,463;0,491;0,659;0,491;1,000;0,000;0,500;55
;;"Lithuania";0,682;0,632;0,750;0,545;0,364;0,682;0,500;0,667;0,500;1,000;0,000;0,500;44
;;"Belorus";0,500;0,400;0,500;0,333;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;6
;;"Ukraine";0,444;0,615;0,444;1,000;0,000;0,500;0,444;0,615;0,444;1,000;0,000;0,500;9
;;"USA";0,500;0,667;0,500;1,000;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;46
;;"Other-Asian";0,500;0,000;0,000;0,000;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;4
;;"UNIVERSAL";0,667;0,667;0,667;0,667;0,333;0,667;0,500;0,667;0,500;1,000;0,000;0,500;6
;;"Other";0,667;0,800;0,667;1,000;0,000;0,500;0,667;0,800;0,667;1,000;0,000;0,500;3
;"race";"English";0,333;0,500;0,333;1,000;0,000;0,500;0,333;0,500;0,333;1,000;0,000;0,500;3
;;"Lithuanian";0,581;0,627;0,565;0,703;0,162;0,581;0,500;0,667;0,500;1,000;0,000;0,500;74
;;"Dark-skinned";0,571;0,609;0,560;0,667;0,143;0,571;0,500;0,667;0,500;1,000;0,000;0,500;84
;;"Indian";0,000;0,000;0,000;0,000;-0,800;0,000;0,667;0,800;0,667;1,000;0,000;0,500;3
;;"American";0,542;0,577;0,536;0,625;0,083;0,542;0,500;0,667;0,500;1,000;0,000;0,500;48
;;"French";0,750;0,667;1,000;0,500;0,500;0,750;0,500;0,667;0,500;1,000;0,000;0,500;4
;;"Roma";0,583;0,615;0,571;0,667;0,167;0,583;0,500;0,667;0,500;1,000;0,000;0,500;36
;;"Palestinians";0,760;0,727;0,889;0,615;0,525;0,766;0,520;0,684;0,520;1,000;0,000;0,500;25
;;"Other-African";0,600;0,667;0,500;1,000;0,286;0,667;0,400;0,571;0,400;1,000;0,000;0,500;5
;;"Polish";0,549;0,549;0,538;0,560;0,098;0,549;0,490;0,658;0,490;1,000;0,000;0,500;51
;;"Ukrainian";0,625;0,667;0,600;0,750;0,250;0,625;0,500;0,667;0,500;1,000;0,000;0,500;32
;;"Russian";0,639;0,663;0,625;0,705;0,277;0,638;0,503;0,670;0,503;1,000;0,000;0,500;155
;;"Mongolian";0,667;0,000;0,000;0,000;0,000;0,500;0,667;0,000;0,000;0,000;0,000;0,500;3
;;"Jewish";0,667;0,692;0,643;0,750;0,333;0,667;0,500;0,667;0,500;1,000;0,000;0,500;120
;;"Central-Asian";0,769;0,800;0,750;0,857;0,530;0,762;0,538;0,700;0,538;1,000;0,000;0,500;13
;;"Other-Asian";0,800;0,857;0,750;1,000;0,545;0,750;0,600;0,750;0,600;1,000;0,000;0,500;5
;;"Latvian";0,400;0,571;0,500;0,667;-0,364;0,333;0,600;0,750;0,600;1,000;0,000;0,500;5
;;"Arab";0,586;0,586;0,586;0,586;0,172;0,586;0,500;0,667;0,500;1,000;0,000;0,500;58
;;"Chinese";0,667;0,800;0,667;1,000;0,000;0,500;0,667;0,800;0,667;1,000;0,000;0,500;3
;;"Unspecified-ethnicity";0,578;0,578;0,591;0,565;0,156;0,578;0,511;0,676;0,511;1,000;0,000;0,500;45
;;"German";0,500;0,667;0,500;1,000;0,000;0,500;0,000;0,000;0,000;0,000;-1,000;0,000;2
;;"Belorussian";0,462;0,588;0,476;0,769;-0,077;0,462;0,500;0,667;0,500;1,000;0,000;0,500;26
;"political";"PP_LP";0,667;0,667;0,667;0,667;0,333;0,667;0,500;0,667;0,500;1,000;0,000;0,500;6
;;"PV_OTHER";0,333;0,500;0,333;1,000;0,000;0,500;0,667;0,000;0,000;0,000;0,000;0,500;3
;;"PP_Other";0,571;0,516;0,615;0,444;0,149;0,575;0,514;0,679;0,514;1,000;0,000;0,500;35
;;"PP_LSDP";0,536;0,636;0,519;0,824;0,080;0,540;0,493;0,660;0,493;1,000;0,000;0,500;69
;;"PP_DP";0,593;0,421;0,800;0,286;0,204;0,604;0,519;0,683;0,519;1,000;0,000;0,500;27
;;"PP_TS-LKD";0,569;0,681;0,541;0,920;0,138;0,569;0,500;0,667;0,500;1,000;0,000;0,500;348
;;"PP_NS";0,333;0,000;0,000;0,000;0,000;0,500;0,667;0,800;0,667;1,000;0,000;0,500;3
;;"PV_Politician";0,567;0,601;0,560;0,649;0,133;0,566;0,503;0,669;0,503;1,000;0,000;0,500;187
;;"PV_Pro-Russian";0,590;0,579;0,595;0,564;0,179;0,590;0,500;0,667;0,500;1,000;0,000;0,500;78
;;"PV_Liberal";0,700;0,769;0,625;1,000;0,400;0,700;0,500;0,667;0,500;1,000;0,000;0,500;10
;;"PV_Eponyms";0,571;0,694;0,540;0,971;0,143;0,571;0,500;0,667;0,500;1,000;0,000;0,500;70
;;"PV_Conservative";0,727;0,769;0,667;0,909;0,455;0,727;0,500;0,667;0,500;1,000;0,000;0,500;88
;;"PP_LS";0,688;0,615;0,800;0,500;0,375;0,688;0,500;0,667;0,500;1,000;0,000;0,500;16
;;"PP_Tautininkai";0,333;0,000;0,000;0,000;0,000;0,500;0,333;0,000;0,000;0,000;0,000;0,500;3
;;"AC_Political-activists";0,500;0,667;0,500;1,000;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;14
;"orientation";"Gay-Men";0,596;0,746;0,596;1,000;0,000;0,500;0,596;0,746;0,596;1,000;0,000;0,500;89
;;"Pedophile";0,429;0,000;0,000;0,000;0,000;0,500;0,429;0,000;0,000;0,000;0,000;0,500;7
;;"Transgender-Individuals";0,500;0,000;0,000;0,000;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;8
;;"Trans-women";0,500;0,667;0,500;1,000;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;4
;;"Females";0,500;0,000;0,000;0,000;0,000;0,500;0,500;0,667;0,500;1,000;0,000;0,500;8
;;"Males-";0,333;0,500;0,333;1,000;0,000;0,500;0,333;0,500;0,333;1,000;0,000;0,500;3
;;"Lesbians";0,556;0,500;0,571;0,444;0,111;0,556;0,500;0,667;0,500;1,000;0,000;0,500;18
;;"S.Orientation-Other-";0,400;0,571;0,400;1,000;0,000;0,500;0,400;0,571;0,400;1,000;0,000;0,500;5
;;"Homosexual-individuals";0,429;0,600;0,500;0,750;-0,273;0,375;0,571;0,727;0,571;1,000;0,000;0,500;7
